"id","entity__id","portfolio","shares","investedUsdc"
"0x1496c8eb81b8b7bbb15507837418135070bd95d0|0x6feefb18cd412a2a57a5f370d127b48510e472a7","0x6feefb18cd412a2a57a5f370d127b48510e472a7","0x1496c8eb81b8b7bbb15507837418135070bd95d0","1178157993664","1197592461152"
"0x1496c8eb81b8b7bbb15507837418135070bd95d0|0x8d2a84300d6ce230ed3fffc23dbcdf1e6c781ff0","0x8d2a84300d6ce230ed3fffc23dbcdf1e6c781ff0","0x1496c8eb81b8b7bbb15507837418135070bd95d0","119430089671","121372290462"
"0x1496c8eb81b8b7bbb15507837418135070bd95d0|0x8fa2d80045c00cff6d83189c978c879da80e4e06","0x8fa2d80045c00cff6d83189c978c879da80e4e06","0x1496c8eb81b8b7bbb15507837418135070bd95d0","994849112403","997342652951"
"0x1496c8eb81b8b7bbb15507837418135070bd95d0|0xb8ff3cce8bb8350e8cbb0e016599743b51660981","0xb8ff3cce8bb8350e8cbb0e016599743b51660981","0x1496c8eb81b8b7bbb15507837418135070bd95d0","134080829262","136269132832"
"0x1496c8eb81b8b7bbb15507837418135070bd95d0|0xf7de063df385392a9102da5ccd33bc6688a17423","0xf7de063df385392a9102da5ccd33bc6688a17423","0x1496c8eb81b8b7bbb15507837418135070bd95d0","254133004192","258325112781"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0x14dc37374aff6e1748451a5ab7f01d865b98214a","0x14dc37374aff6e1748451a5ab7f01d865b98214a","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","1038662399512648371997","1540450310718"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0x244064a29c0a18dfbc387a9aebc76d425a59aa07","0x244064a29c0a18dfbc387a9aebc76d425a59aa07","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","191532976662447489285","272221581320"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0x6992dabe77b4113de3f41549dd7964c0b1a1605f","0x6992dabe77b4113de3f41549dd7964c0b1a1605f","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","59582191982101037832","100857012531"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0x76f8932ea67bc32340d1d048c74689bc27221b95","0x76f8932ea67bc32340d1d048c74689bc27221b95","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","54861083242164701","99498746"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0x8268941b82aa52a18434b14abfde78e6f59335e2","0x8268941b82aa52a18434b14abfde78e6f59335e2","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","37876753492767097516","58335146568"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0x8d2a84300d6ce230ed3fffc23dbcdf1e6c781ff0","0x8d2a84300d6ce230ed3fffc23dbcdf1e6c781ff0","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","5277364185377483481","10025062656"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0xb8ff3cce8bb8350e8cbb0e016599743b51660981","0xb8ff3cce8bb8350e8cbb0e016599743b51660981","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","15758299503164766803","30075187969"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0xe435c112772f1f01b7bf5375d64a62c0794fe496","0xe435c112772f1f01b7bf5375d64a62c0794fe496","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","5857728910516365564","7474983609"
"0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8|0xeaab0f4a70ff7955f9f95f5fc87e18fe34a73996","0xeaab0f4a70ff7955f9f95f5fc87e18fe34a73996","0x7d7013c1e786c787a9aa6bdb8e9885dd4ee94bb8","21194369446055206471","34977168950"
"0x9c73f76d6f4aee8ea62f77442b8c27702e5d25d0|0x7cdc5b0f89227b41d95ad49a66cadd27e5b56b43","0x7cdc5b0f89227b41d95ad49a66cadd27e5b56b43","0x9c73f76d6f4aee8ea62f77442b8c27702e5d25d0","10117351486","10142708257"
"0x9c73f76d6f4aee8ea62f77442b8c27702e5d25d0|0xe412def0b22e9d30e09afcb49fa4242ccba11f35","0xe412def0b22e9d30e09afcb49fa4242ccba11f35","0x9c73f76d6f4aee8ea62f77442b8c27702e5d25d0","61293153","61481775"
"0xb374abd1dd31ef597d1576a0dc15d581b8dca8ea|0x8d2a84300d6ce230ed3fffc23dbcdf1e6c781ff0","0x8d2a84300d6ce230ed3fffc23dbcdf1e6c781ff0","0xb374abd1dd31ef597d1576a0dc15d581b8dca8ea","38040553739116548535523","50125313283"
"0xb374abd1dd31ef597d1576a0dc15d581b8dca8ea|0xbdc6658a02aadff7e55f1000208c43dcf1a779e3","0xbdc6658a02aadff7e55f1000208c43dcf1a779e3","0xb374abd1dd31ef597d1576a0dc15d581b8dca8ea","5271522921377485251153","5851799498"
"0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f|0x19a72a82253025b032cf13630203a3cabe0c3c3d","0x19a72a82253025b032cf13630203a3cabe0c3c3d","0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f","9778348435951349632","20050125313"
"0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f|0x6992dabe77b4113de3f41549dd7964c0b1a1605f","0x6992dabe77b4113de3f41549dd7964c0b1a1605f","0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f","17084865341690889220","31759498746"
"0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f|0x7cdc5b0f89227b41d95ad49a66cadd27e5b56b43","0x7cdc5b0f89227b41d95ad49a66cadd27e5b56b43","0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f","7663519675396223974","16040100250"
"0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f|0xb8ff3cce8bb8350e8cbb0e016599743b51660981","0xb8ff3cce8bb8350e8cbb0e016599743b51660981","0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f","219019509645317547791","451127819548"
"0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f|0xbdc6658a02aadff7e55f1000208c43dcf1a779e3","0xbdc6658a02aadff7e55f1000208c43dcf1a779e3","0xdc4e3e75f444f4a83c02740fc0014c1d6f05570f","1682656036459113104","3437794486"
"0xefc68dce5c25bf70393244b1e2af56acbe07824d|0x6992dabe77b4113de3f41549dd7964c0b1a1605f","0x6992dabe77b4113de3f41549dd7964c0b1a1605f","0xefc68dce5c25bf70393244b1e2af56acbe07824d","236351212","63213192982"
